"","symbol","company","exchange","date.x","price","currency","actions","date.y","open","close","adjusted","returns","year"
"780","0848.HK","Maoye International Holdings","HKSE",2008-05-05,3.1,"HKD","Priced",2008-05-05,3.14,3.04,2.284884,-0.0193548387096775,2008
"781","TTKOM.IS","Turk Telekomunikasyon AS","Istanbul",2008-05-14,0.046,"TRY","Priced",2008-05-15,4.6,4.6,2.561371,99,2008
"782","SABINA.BK","Sabina PLC","Thailand",2008-05-15,32,"THB","Priced",2008-05-15,7.8,8.1,6.115846,-0.746875,2008
"783","EDPR.LS","EDP Renovaveis SA","Lisbon",2008-06-04,8,"EUR","Priced",2008-06-04,8,7.65,7.302453,-0.04375,2008
"784","CAM.WA","CAM Media SA","Warsaw",2008-05-07,10,"PLN","Priced",2014-09-01,2.29,2.15,2.15,-0.785,2008
"785","VIVA.KW","Kuwait Telecommunications Co","Kuwait",2014-12-14,0.1,"KWD","Priced",2018-01-16,0.778,0.779,0.717713,6.79,2014
"786","601668.SS","China State Constr Engineering","Shanghai",2009-07-29,4.18,"CNY","Priced",2009-07-29,4.78571,4.66429,3.37635,0.115858851674641,2009
"787","SEZI.ST","Senzime AB","SAT",2008-06-18,7.5,"SEK","Priced",2008-06-18,7.22288,6.67922,6.67922,-0.109437333333333,2008
"788","3813.HK","Pou Sheng Intl Hldgs Ltd","HKSE",2008-06-06,3.05,"HKD","Priced",2008-06-06,3.05,2.61,2.517858,-0.144262295081967,2008
"789","1368.HK","Xtep International Holdings","HKSE",2008-06-03,4.05,"HKD","Priced",2008-06-03,3.79,3.8,2.292062,-0.0617283950617284,2008
"790","0968.HK","Little Sheep Group Limited","HKSE",2008-06-12,3.18,"HKD","Priced",2013-12-12,0.94391,1.13269,0.934075,-0.643808176100629,2008
"791","FNG.BR","Fred & Ginger NV","Brussels",2008-07-14,7.8,"EUR","Priced",2018-07-09,32,26,26,2.33333333333333,2008
"792","ZAINBH.BH","Zain Bahrain BSCC","Bahrain",2014-12-04,0.19,"BHD","Priced",2017-01-19,0.095,0.095,0.079663,-0.5,2014
"793","532994.BO","Archidply Industries Limited","BSE",2008-07-02,74,"INR","Priced",2018-01-02,115,113.449997,113.449997,0.533108067567567,2008
"794","2208.TW","CSBC Corp","Taiwan",2008-12-22,13.41,"TWD","Priced",2008-12-22,31.924101,48.311901,43.007969,2.60267718120805,2008
"795","5NG.SI","Healthway Med Corp Ltd","SES",2008-07-04,0.36,"SGD","Priced",2008-07-04,0.20694,0.194,0.187141,-0.461111111111111,2008
"796","3561.TW","Solartech Energy Corp","Taiwan",2008-12-05,24,"TWD","Priced",2007-06-15,99.971603,101.400002,90.944313,3.22500008333333,2008
"797","THAL.L","Thalassa Holdings Ltd","LSE",2008-07-29,1,"USD","Priced",2008-07-29,52.5,50,50,49,2008
"798","5NK.SI","Artivision Technologies Ltd","SI",2008-08-18,0.2,"USD","Priced",2008-08-18,0.16286,0.13714,0.13714,-0.3143,2008
"799","BBTN.JK","Bank Tabungan Negara Tbk PT","Jakarta",2009-12-17,800,"IDR","Priced",2009-12-17,807.497986,807.497986,670.415222,0.00937248249999989,2009
"800","CHS.WA","Chemoservis-Dwory SA","Warsaw",2008-11-25,1.7,"PLN","Priced",2010-02-22,7.36,7.2,7.1625,3.23529411764706,2008
